"","study","subject","pipeline","index","fwhm","scheme"
"174","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",19,4.19812787129369,"DSI 258"
"175","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",20,4.2022388576876,"DSI 258"
"176","DSI 258","a7d39b642cd14677481a9d0a236bf7384fa88c4b5019bb647b10cbd4294187cc","Raw",21,4.19470635970369,"DSI 258"
"177","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",0,4.18950276285879,"DSI 258"
"178","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",1,4.17088764495484,"DSI 258"
"179","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",2,4.1848781622661,"DSI 258"
"180","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",3,4.19887830651316,"DSI 258"
"181","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",4,4.20089001796071,"DSI 258"
"182","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",5,4.20235637403117,"DSI 258"
"183","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",6,4.16278321924975,"DSI 258"
"184","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",7,4.20163474764662,"DSI 258"
"185","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",8,4.20326305299544,"DSI 258"
"186","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",9,4.21468484272434,"DSI 258"
"187","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",10,4.21927506483383,"DSI 258"
"188","DSI 258","9603cddb9841ae11bf4a2cb17ec651d0f724fa0f52258bfa9af2ad5200258798","Raw",11,4.17729493773649,"DSI 258"
