"","subject","qc","fwhm","scheme","pipeline"
"123","83569a40fd8436f75a7c29b243be082a49dc4a11d5f8e873b1b29a42412fb5f7",0.858948,3.77579563891,"MultiShell 113","QSIPrep"
"124","6ac320addd77fb08f11a80bbab646e0de71e92230e6c6e2789a4c40cf548c35b",0.861016,3.71503517891,"MultiShell 113","QSIPrep"
"125","192211e1398a9f6c3594d3674bf8012e78be2c4e31d4d737335046c8ddbcf431",0.840474,3.82045424708,"MultiShell 113","QSIPrep"
"126","66396aa9f4ef5b1349328028087f909d4a4eb3bd3e5551929ca199c7cefb3178",0.849315,4.04812877244,"MultiShell 113","QSIPrep"
"127","910cd1ac036233ad0b226cfd0a6d0a36fe19fc2c0b0b94da3525fbc66dbed941",0.868384,3.92755126641,"MultiShell 113","QSIPrep"
"128","a1845d4b520c8950e8c2c116e7cdfbea36688e39cbdf3175d2b9837607545ceb",0.858448,3.82353965254,"MultiShell 113","QSIPrep"
"129","ad726245291e256114050c7a6805a81e932924a05679ef76e3a6304517091637",0.816821,3.96914449684,"MultiShell 113","QSIPrep"
"130","ab7bc2a90db227624c16ca4bdc5bb42d8159ec78e0bb34cd4c0c3f9cd1b771dc",0.838145,3.70366502012,"MultiShell 113","QSIPrep"
"131","738746da8e1d36196b9f5df16985e1f883fdece09bb75f172bc1b22159f85b75",0.864553,3.88234324401,"MultiShell 113","QSIPrep"
"132","c2f2107e907468e7e337bd604ee61efa9ae52c0428d9807dc62027035267b5af",0.841687,3.97742830447,"MultiShell 113","QSIPrep"
"133","26dc44b5f298a5da00b1055da8e026f46572912712fd57fda74f804836f5185d",0.871287,3.95087448632,"MultiShell 113","QSIPrep"
"134","a7e18679f7ccbd9b4c3622ee1ef6756521b870a9c2757d417491449ae3f769a1",0.827034,4.12150111055,"MultiShell 113","QSIPrep"
"135","7d9886741cd0aedb4201a43bc12fd0902ff7b85f993cee8527138141df9d4b05",0.817267,4.1193654089,"MultiShell 113","QSIPrep"
"136","c5cf31c994a9abb20554a027b03cb8fb611724e6f248941bb427a85fb7ff7993",0.863828,4.28962671493,"MultiShell 113","QSIPrep"
"137","bc5e2c458868169a84ae5ab9bc3d05ac74c52597821105e14792de660aaf7fff",0.931445,5.25087991379,"DTI 64","QSIPrep"
"138","23ba41ed2cdd4af47aee2805aadab2b7fac224391d7b5ed2394d6ad6bb1bc3d1",0.93602,5.10371187416,"DTI 64","QSIPrep"
"139","3c423374c825cdb521adf0186f66a2600d00920655c39b76411cfbc0abad815d",0.935696,4.98384357636,"DTI 64","QSIPrep"
"140","0c488b249ba7808d7616d470f9903e54ce795729c4ae9788e40083a274257cf5",0.936826,4.89659684926,"DTI 64","QSIPrep"
"141","5c0d6af631aa71b42fab6891c6e1f493d3691e6d83dcf40a2c8f4769430c015a",0.923101,4.96884417777,"DTI 64","QSIPrep"
"142","ce53191e91f68926646a408c605887770b4022ffac003a7f75e08be3e946b180",0.939944,5.14942926236,"DTI 64","QSIPrep"
"143","e5058327ef24a8545bbd933362b17cff3509c743bcc1f9bbeb0d59b5acfdf052",0.93719,5.01162221134,"DTI 64","QSIPrep"
"144","d1e427f934e42ec267c0464e25e9b571ae0bbec46994339787775479d5b67129",0.93487,5.22447929469,"DTI 64","QSIPrep"
"145","9587551d88209f58d7cb0caa7f7e99516842b3c52944bc3caaf6d5acd01c258b",0.940433,4.77831862498,"DTI 64","QSIPrep"
"146","1a2962f450960465512ba213e7a2eeafe2c339dc1db1f5353c0817aa7c5f4f28",0.924647,4.95085223247,"DTI 64","QSIPrep"
"147","82488a5b457984a44b49b768d56a55a2cc6cd71943b6cfb86260b65a7d0504bf",0.93358,5.22331220597,"DTI 64","QSIPrep"
"148","ba99be21b461a164714d05cacfb9ba0c3e433df51eb425ca27cd4f03d8a9df9a",0.870668,5.08804445715,"DTI 64","QSIPrep"
"149","664f2a89d95e4f797081dfbc3d5562ea403a5323a1311d4bb21687e46451fe2a",0.908404,5.18691920688,"DTI 64","QSIPrep"
"150","c8ed8d8356a242f247480ad05ced32990cf820df0aa8e9232de7eea14617173e",0.935312,4.98450291285,"DTI 64","QSIPrep"
"151","6900a9bcac85f96d366c9f3d56f171f21b32abd2379de10182a2aa8256fe1ca2",0.925904,5.19243842878,"DTI 64","QSIPrep"
"152","6c4709e4c45674820477865721822c76b298a3f972ee3623d01be75611ddde83",0.929176,5.32188147268,"DTI 64","QSIPrep"
"153","d8996b3d9ebc446d4170b5f75658cd0d8a9a4b421f72410ee98bfb56ac9d5724",0.925082,5.1479971024,"DTI 64","QSIPrep"
"154","765bdde4f59c31c599386543f76d4958233d41a39ba846f8889a5fd1b43dfd1d",0.911895,5.07782734754,"DTI 64","QSIPrep"
"155","9a5fd8900e9b80623402c310845229222b75e9bd98a5e72ad934fc92cf7e03bc",0.942478,5.00762797325,"DTI 64","QSIPrep"
"156","3a27222b01438a0ab5a7da27e4c7a692de52f40f3cbe27728b0fddc1462fa2c1",0.943109,4.99897403045,"DTI 64","QSIPrep"
